Index,MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,Hero_Rating,movie_rating,content_rating
273,Magamuni,Crime,7.9,Santha Kumar,Arya,1275,2019,9,9,8.633333333
274,Saaho,Action,5.2,Sujeeth,Prabhas,14432,2019,1,8,4.733333333
275,Sixer,Comedy,5.7,Chachi,Vaibhav Reddy,219,2019,4,7,5.566666667
276,Bakrid,Drama,7.4,Jagadeesan Subu,Vikranth,222,2019,5,8,6.8
277,Kennedy Club,Drama,5.4,Suseenthiran,M. Sasikumar,101,2019,2,8,5.133333333
278,Comali,Comedy,6.9,Pradeep Ranganathan,Jayam Ravi,1793,2019,10,9,8.633333333
279,Nerkonda Paarvai,Action,8.2,H. Vinoth,Ajith Kumar,4876,2019,4,9,7.066666667
280,Jackpot,Action,5.2,Kalyaan,Jyotika,321,2019,7,8,6.733333333
281,A1,Comedy,5,K. Johnson,Santhanam,347,2019,8,8,7
282,Aame,Drama,6.3,Rathna Kumar,Amala Paul,998,2019,9,9,8.1
283,Kadaram Kondan,Action,5.7,Rajesh M. Selva,Vikram,1303,2019,8,8,7.233333333
284,Sivappu Manjal Pachai,Action,7.1,Sasi,Siddharth,998,2019,10,9,8.7
285,Gurkha,Action,4.7,Sam Anton,Yogi Babu,194,2019,5,8,5.9
286,Vennila Kabaddi Kuzhu 2,Action,5.1,Selva Sekaran,Appukutty,89,2019,9,9,7.7
287,Bodhai Yeri Budhi Maari,Drama,6.6,Chandru,Charlie,43,2019,6,9,7.2
288,Kalavani 2,Comedy,4,A. Sarkunam,Vimal,68,2019,5,10,6.333333333
289,Raatchasi,Drama,7.3,Sy Gowthamraj,Jyotika,729,2019,10,9,8.766666667
290,Jiivi,Drama,7.9,V.J. Gopinath,Vetri,997,2019,5,9,7.3
291,Dharma Prabhu,Drama,4.6,S. Muthukumaran,Yogi Babu,153,2019,8,8,6.866666667
292,House Owner,Drama,6.4,Lakshmi Ramakrishnan,Lovelyn Chandrasekhar,100,2019,5,7,6.133333333
293,Sindhubaadh,Action,5.1,S.U. Arun Kumar,Vijay Sethupathi,311,2019,9,8,7.366666667
294,Thumbaa,Adventure,5.8,Harish Ram L.H.,Kpy Bala,57,2019,8,9,7.6
295,Game Over,Drama,7.1,Ashwin Saravanan,Taapsee Pannu,5370,2019,9,9,8.366666667
296,Kolaigaran,Action,7.1,Andrew Louis,Vijay Antony,1080,2019,10,9,8.7
297,NGK,Action,6,K. Selvaraghavan,Suriya,3093,2019,9,9,8
298,Devi 2,Comedy,3.8,A.L. Vijay,Prabhu Deva,269,2019,5,7,5.266666667
299,Neeya 2,Horror,3,Suresh,Jai,78,2019,9,7,6.333333333
300,Ayogya,Action,6.1,Venkat Mohan,Vishal,824,2019,8,9,7.7
301,Kee,Action,5.1,Kalees,Jiiva,566,2019,7,8,6.7
302,K-13,Action,6.1,Barath Neelakantan,Arulnithi,359,2019,8,6,6.7
303,Mr. Local,Action,3.1,M. Rajesh,Sivakarthikeyan,750,2019,9,8,6.7
304,100,Action,6.5,Sam Anton,Atharvaa Murali,809,2019,5,9,6.833333333
305,Vellai Pookal,Crime,7.2,Vivek Elangovan,Vivek,1229,2019,4,9,6.733333333
306,Mehandi Circus,Drama,7.5,Raju Saravanan,Madhampatty Rangaraj,343,2019,7,8,7.5
307,Kanchana 3,Action,4.2,Lawrence Raghavendra,Lawrence Raghavendra,1031,2019,8,8,6.733333333
308,Watchman,Thriller,5.1,A.L. Vijay,G.V. Prakash Kumar,234,2019,9,8,7.366666667
309,Gangs Of Madras,Action,5.5,C.V. Kumar,Daniel Balaji,4541,2019,8,9,7.5
310,Uriyadi 2,Action,7.2,Vijay Kumar,Vijay Kumar,622,2019,7,9,7.733333333
311,Kuppathu Raja,Comedy,4.9,Baba Bhaskar,G.V. Prakash Kumar,105,2019,9,8,7.3
312,Natpe Thunai,Comedy,6.5,Parthiban Desingu,Hiphop Tamizha Adhi,671,2019,9,8,7.833333333
313,Super Deluxe,Action,8.4,Thiagarajan Kumararaja,Vijay Sethupathi,7412,2019,7,8,7.8
314,Airaa,Drama,4.6,Sarjun,Nayanthara,548,2019,10,8,7.533333333
315,Agni Devi,Crime,5.3,Jpr,Sathish Krishnan,66,2019,9,8,7.433333333
316,Nedunalvaadai,Drama,7.3,Selvakannan,Elvis Alexander,33890,2019,8,7,7.433333333
317,Ispade Rajavum Idhaya Raniyum,Drama,6.5,Ranjit Jeyakodi,Harish Kalyan,367,2019,7,7,6.833333333
